,station_id,short_name,lat,lon,capacity,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,last_updated,temp_c,wind_kph,humidity,clouds
272,280,252,19.427575,-99.17702,19,2,0,17,0,2024-08-24 15:44:26,24.9,6.17,41,40
273,281,251,19.429261,-99.17538,15,0,0,15,0,2024-08-24 15:44:26,24.9,6.17,41,40
274,282,117,19.427166592327957,-99.16029106826954,31,27,0,4,0,2024-08-24 15:44:26,24.95,6.17,41,40
275,283,250,19.428949,-99.179796,23,12,0,11,0,2024-08-24 15:44:26,24.9,6.17,41,40
276,284,217,19.432850919536445,-99.18354526173061,31,23,1,7,0,2024-08-24 15:44:26,24.9,6.17,41,40
277,285,224,19.431255,-99.188065,15,13,0,2,0,2024-08-24 15:44:26,24.82,6.17,41,40
278,286,215,19.43384,-99.19968,23,2,0,21,0,2024-08-24 15:44:26,24.73,6.17,41,40
279,287,202,19.436064,-99.198898,19,7,0,12,0,2024-08-24 15:44:26,24.83,6.17,41,40
280,288,240,19.438634297233477,-99.20629061763975,17,11,0,6,0,2024-08-24 15:44:26,24.68,6.17,41,40
281,289,047,19.419506460644055,-99.16636526590081,29,28,0,1,0,2024-08-24 15:44:26,24.9,6.17,41,40
282,290,258,19.4165298,-99.1790435,33,1,0,32,0,2024-08-24 15:44:26,24.93,6.17,41,40
283,291,011,19.431192,-99.163546,15,0,5,10,0,2024-08-24 15:44:26,24.95,6.17,41,40
284,292,001,19.43347819859695,-99.16778985412292,35,6,0,29,0,2024-08-24 15:44:26,24.9,6.17,41,40
285,293,103,19.441533,-99.165268,31,6,0,25,0,2024-08-24 15:44:26,24.94,6.17,41,40
286,294,013,19.424941,-99.17233,28,13,0,15,0,2024-08-24 15:44:26,24.9,6.17,41,40
287,295,018,19.428802,-99.164381,39,10,1,28,0,2024-08-24 15:44:26,24.95,6.17,41,40
288,296,038,19.420829444872908,-99.17142122989388,35,25,0,10,0,2024-08-24 15:44:26,24.9,6.17,41,40
289,297,449,19.420281,-99.174392,27,11,0,16,0,2024-08-24 15:44:26,24.9,6.17,41,40
290,298,028,19.423664,-99.172568,35,30,2,3,0,2024-08-24 15:44:26,24.9,6.17,41,40
291,299,034,19.42472751913646,-99.16334755721435,23,11,0,12,0,2024-08-24 15:44:26,24.95,6.17,41,40
292,300,232,19.42894,-99.185389,31,20,0,11,0,2024-08-24 15:44:26,24.82,6.17,41,40
